# InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
 103 2.58750E+18 0.000000000000000 0.000000 0.199354 19436.598691110415530 0.184759 19436.598691110411892 0.000000 19436.598691110346408 0.000000 19436.598691110517393 0.014596 19436.598691110408254 0.0000000000
 104 2.61250E+18 0.000000000000000 0.000000 0.199451 19445.967160253909242 0.184848 19445.967160253916518 0.000000 19445.967160253898328 0.000000 19445.967160253796465 0.014603 19445.967160253912880 0.0000000000
 105 2.63750E+18 0.000000000000000 0.000000 0.199545 19455.146802722847497 0.184935 19455.146802722840221 0.000000 19455.146802722752909 0.000000 19455.146802722731081 0.014610 19455.146802722836583 0.0000000000
 106 2.66250E+18 0.000000000000000 0.000000 0.199637 19464.143776178898406 0.185020 19464.143776178905682 0.000000 19464.143776178880216 0.000000 19464.143776178771077 0.014617 19464.143776178898406 0.0000000000
 107 2.68750E+18 0.000000000000000 0.000000 0.199727 19472.961956019917125 0.185104 19472.961956019920763 0.000000 19472.961956019913487 0.000000 19472.961956019848003 0.014623 19472.961956019917125 0.0000000000
 108 2.71250E+18 0.000000000000000 0.000000 0.199816 19481.605808376749337 0.185186 19481.605808376767527 0.000000 19481.605808376760251 0.000000 19481.605808376869390 0.014630 19481.605808376760251 0.0000000000
 109 2.73750E+18 0.000000000000000 0.000000 0.199903 19490.079098646310740 0.185267 19490.079098646307102 0.000000 19490.079098646256170 0.000000 19490.079098646066996 0.014636 19490.079098646303464 0.0000000000
 110 2.76250E+18 0.000000000000000 0.000000 0.199988 19498.387207331143145 0.185346 19498.387207331154059 0.000000 19498.387207331077661 0.000000 19498.387207330681122 0.014642 19498.387207331154059 0.0000000000
 111 2.78750E+18 0.000000000000000 0.000000 0.200072 19506.533628209988819 0.185423 19506.533628210003371 0.000000 19506.533628209974268 0.000000 19506.533628210177994 0.014648 19506.533628210007009 0.0000000000
 112 2.81250E+18 0.000000000000000 0.000000 0.200154 19514.522335420413583 0.185499 19514.522335420420859 0.000000 19514.522335420351737 0.000000 19514.522335420282616 0.014654 19514.522335420417221 0.0000000000
 113 2.83750E+18 0.000000000000000 0.000000 0.200234 19522.357189857135381 0.185574 19522.357189857139019 0.000000 19522.357189857073536 0.000000 19522.357189857226331 0.014660 19522.357189857135381 0.0000000000
 114 2.86250E+18 0.000000000000000 0.000000 0.200313 19530.041942782143451 0.185647 19530.041942782139813 0.000000 19530.041942782059778 0.000000 19530.041942782183469 0.014666 19530.041942782143451 0.0000000000
 115 2.88750E+18 0.000000000000000 0.000000 0.200390 19537.580239312505000 0.185718 19537.580239312512276 0.000000 19537.580239312417689 0.000000 19537.580239312421327 0.014672 19537.580239312515914 0.0000000000
 116 2.91250E+18 0.000000000000000 0.000000 0.200466 19544.975621183777548 0.185789 19544.975621183792100 0.000000 19544.975621183708427 0.000000 19544.975621183879412 0.014677 19544.975621183792100 0.0000000000
