# ﻿InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  55 1.38750E+018 0.000000000000000 0.000000 0.190964 18618.534995404534129 0.176982 18618.534995404526853 0.000000 18618.534995404512301 0.000000 18618.534995404756046 0.013982 18618.534995404530491 0.0000000000
  56 1.41250E+018 0.000000000000000 0.000000 0.191256 18647.009519089813693 0.177253 18647.009519089817331 0.000000 18647.009519089871901 0.000000 18647.009519089668174 0.014003 18647.009519089813693 0.0000000000
  57 1.43750E+018 0.000000000000000 0.000000 0.191540 18674.741925387213996 0.177517 18674.741925387206720 0.000000 18674.741925387159426 0.000000 18674.741925387028459 0.014024 18674.741925387210358 0.0000000000
  58 1.46250E+018 0.000000000000000 0.000000 0.191817 18701.755822984388942 0.177773 18701.755822984385304 0.000000 18701.755822984428960 0.000000 18701.755822984356200 0.014044 18701.755822984381666 0.0000000000
  59 1.48750E+018 0.000000000000000 0.000000 0.192087 18728.073931669641752 0.178024 18728.073931669638114 0.000000 18728.073931669630838 0.000000 18728.073931669732701 0.014064 18728.073931669638114 0.0000000000
  60 1.51250E+018 0.000000000000000 0.000000 0.192350 18753.718121733600128 0.178267 18753.718121733600128 0.000000 18753.718121733600128 0.000000 18753.718121733341832 0.014083 18753.718121733596490 0.0000000000
  61 1.53750E+018 0.000000000000000 0.000000 0.192607 18778.709451368107693 0.178505 18778.709451368111331 0.000000 18778.709451368125883 0.000000 18778.709451367758447 0.014102 18778.709451368107693 0.0000000000
  62 1.56250E+018 0.000000000000000 0.000000 0.192857 18803.068202135309548 0.178736 18803.068202135309548 0.000000 18803.068202135342290 0.000000 18803.068202135247702 0.014120 18803.068202135305910 0.0000000000
  63 1.58750E+018 0.000000000000000 0.000000 0.193100 18826.813912537869328 0.178962 18826.813912537876604 0.000000 18826.813912537829310 0.000000 18826.813912537916622 0.014138 18826.813912537876604 0.0000000000
  64 1.61250E+018 0.000000000000000 0.000000 0.193338 18849.965409903437831 0.179182 18849.965409903437831 0.000000 18849.965409903416003 0.000000 18849.965409903386899 0.014155 18849.965409903437831 0.0000000000
  65 1.63750E+018 0.000000000000000 0.000000 0.193569 18872.545402410964016 0.179397 18872.545402410967654 0.000000 18872.545402410974930 0.000000 18872.545402411185933 0.014172 18872.545402410967654 0.0000000000
  66 1.66250E+018 0.000000000000000 0.000000 0.193795 18894.562039802847721 0.179606 18894.562039802844083 0.000000 18894.562039802909567 0.000000 18894.562039802800427 0.014189 18894.562039802840445 0.0000000000
  67 1.68750E+018 0.000000000000000 0.000000 0.194015 18916.036981022964028 0.179810 18916.036981022960390 0.000000 18916.036981022934924 0.000000 18916.036981022825785 0.014205 18916.036981022956752 0.0000000000
  68 1.71250E+018 0.000000000000000 0.000000 0.194230 18936.986496925968822 0.180009 18936.986496925965184 0.000000 18936.986496925983374 0.000000 18936.986496925957908 0.014221 18936.986496925968822 0.0000000000
  69 1.73750E+018 0.000000000000000 0.000000 0.194440 18957.430090777932492 0.180204 18957.430090777936130 0.000000 18957.430090777943406 0.000000 18957.430090778063459 0.014236 18957.430090777932492 0.0000000000
  70 1.76250E+018 0.000000000000000 0.000000 0.194644 18977.375097127907793 0.180393 18977.375097127907793 0.000000 18977.375097127936897 0.000000 18977.375097127900517 0.014251 18977.375097127904155 0.0000000000
